案件ステータス,CL,代理店,AP,商材,優先度,支払方法,信販会社,PVメーカー,BTメーカー,BT型式,BT容量,進捗ステータス,書類ステータス
アポ取得,営業A,代理店A,AP担当01,PV,高,現金,滋賀銀行,カナディアン,カナディアン,EP Cube 13.3,13.3,未対応,未対応
商談予定,営業B,代理店B,AP担当02,BT,中,銀行,群馬銀行,ハンファ,Panasonic,LJB1156,11.2,対応中,対応中
商談前キャンセル,営業C,代理店C,AP担当03,EQ,低,信販,オリコ,SHARP,オムロン,KP-BU98B-S,9.8,完了,完了
提案中,営業D,代理店D,AP担当04,PV.BT,,,ジャックス,長州産業,SHARP,JH-WB2021,9.5,不要,不要
FO,営業E,自社,AP担当05,PV.BT.EQ,,,,,ニチコン,ESS-T3X1,14.9,,
CLO,,紹介店A,AP担当06,BT.EQ,,,,,京セラ,Enerezza Plus 2,17.1,,
B,,,AP担当07,BT.EQ.IH,,,,,ダイヤゼブラ,EOF-LB70-TK,7.04,,
クーリングオフ,,,AP担当08,PV.BT.EQ.IH,,,,,,,,,
再商談,,,AP担当09,,,,,,,,,,
契約,,,AP担当10,,,,,,,,,,
仮審査中,,,,,,,,,,,,,
仮審査済,,,,,,,,,,,,,
本審査中,,,,,,,,,,,,,
本審査済,,,,,,,,,,,,,
現調待ち,,,,,,,,,,,,,
工事待ち,,,,,,,,,,,,,
残工事,,,,,,,,,,,,,
完工,,,,,,,,,,,,,
